Field Position,Field Name,Description,Date Bound Notes,Respective Disclosure Notes,CAS,CIRT,Single-Family (SF) Loan Performance,Type,Max Length
87,High Balance Loan Indicator ,An indicator that denotes if the original principal balance of a mortgage loan is greater than the general conforming loan limit and up to the high-cost area loan limit.,"CAS/CIRT/SF Loan Performance: Based on loan limits after 2008. 

CAS/CIRT: Enhanced format starting with the July 2020 activity period",Y = Yes; N = No,√,√,√,ALPHA-NUMERIC,X(1)
88,ARM Initial Fixed-Rate Period  ≤ 5 YR Indicator,"For an adjustable-rate mortgage loan, an indicator that denotes if the Initial Fixed-Rate Period is less than or equal to five years.",,"Y = Yes; N = No

Applicable to certain CIRT offerings",NA,√,NA,ALPHA-NUMERIC,X(1)
89,ARM Product Type,"For an adjustable-rate mortgage loan, a string that denotes the Initial Fixed-Rate Period, the subsequent Interest Rate Adjustment Frequency, and the Original Loan Term.",,Applicable to certain CIRT offerings,NA,√,NA,ALPHA-NUMERIC,X(100)
90,Initial Fixed-Rate Period ,"For an adjustable-rate mortgage loan, the number of months between the first full month the mortgage loan accrues interest and the initial interest rate change date. ",,Applicable to certain CIRT offerings,NA,√,NA,NUMERIC,9(4)
91,Interest Rate Adjustment Frequency,"For an adjustable-rate mortgage loan, the number of months between scheduled rate changes. For loans with an Initial Fixed-Rate Period, the number of months between subsequent rate adjustments. ",,Applicable to certain CIRT offerings,NA,√,NA,NUMERIC,9(4)
92,Next Interest Rate Adjustment Date,"For adjustable-rate loans, the month and year that the interest rate is next subject to change.",,Applicable to certain CIRT offerings,NA,√,NA,DATE,MMYYYY
93,Next Payment Change Date,"For an adjustable-rate mortgage loan, the next date on which the payment amount due from the borrower is subject to change. ",,Applicable to certain CIRT offerings,NA,√,NA,DATE,MMYYYY
94,Index,"For adjustable-rate loans, the description of the index on which adjustments to the interest rate are based.",,Applicable to certain CIRT offerings,NA,√,NA,ALPHA-NUMERIC,X(100)
95,ARM Cap Structure,"For an adjustable-rate mortgage loan, a numeric string that explains the interest rate caps on the ARM. The first number is the Initial Interest Rate Cap Up Percent (i.e., the maximum percentage points the interest rate can adjust upward at the initial rate change date). The second number is the Periodic Interest Rate Cap Up Percent (i.e., the maximum percentage points the interest rate can adjust upward at each interest rate change date after the initial interest rate change date). The third number is the Lifetime Interest Rate Cap Up Percent (i.e., the maximum percentage points that the interest rate can adjust upward over the life of the loan relative to the initial interest rate).",,Applicable to certain CIRT offerings,NA,√,NA,ALPHA-NUMERIC,X(10)
96,Initial Interest Rate Cap Up Percent,"For an adjustable-rate mortgage loan, the maximum percentage points the interest rate can adjust upward at the initial interest rate change date. ",,Applicable to certain CIRT offerings,NA,√,NA,NUMERIC,9(2).9999
97,Periodic Interest Rate Cap Up Percent,"For an adjustable-rate mortgage loan, the maximum percentage points the interest rate can adjust upward at each interest rate change date after the initial interest rate change date. ",,Applicable to certain CIRT offerings,NA,√,NA,NUMERIC,9(2).9999
98,Lifetime Interest Rate Cap Up Percent,"For an adjustable-rate mortgage loan, the maximum percentage points that the interest rate can adjust upward over the life of the loan relative to the initial interest rate.",,Applicable to certain CIRT offerings,NA,√,NA,NUMERIC,9(2).9999
99,Mortgage Margin,"For an adjustable-rate mortgage loan, the rate that is added to the index value to establish the new interest rate (after applying all applicable caps and floors) accruing on the loan at each interest rate change date. ",,Applicable to certain CIRT offerings,NA,√,NA,NUMERIC,9.(2).9999
100,ARM Balloon Indicator,"For an adjustable-rate mortgage loan, a code that denotes if the loan has a balloon feature.",,"Y = Yes; N = No

Applicable to certain CIRT offerings

",NA,√,NA,ALPHA-NUMERIC,X(1)
101,ARM Plan Number,"For an adjustable-rate mortgage loan, a code identifying the standardized plan under which the mortgage loan was delivered to Fannie Mae. The ARM plan outlines the characteristics of the adjustable-rate mortgage loan, including the ARM Index, the Initial Fixed-Rate Period, the Cap Structure, look-back days, assumability, and the option to convert to a fixed-rate mortgage loan..",,"Applicable to certain CIRT offerings.

The list of ARM Plans can be found in Fannie Mae’s Selling Guide. ",NA,√,NA,NUMERIC,9(4)
102,Borrower Assistance Plan,An indicator that denotes the type of assistance plan that the borrower is enrolled in that provides temporary mortgage payment relief or an opportunity for the borrower to cure a mortgage delinquency over a defined period.,"CAS/CIRT: Enhanced format starting with the July 2020 activity period;  previously known as Forbearance Indicator; 

CAS/CIRT: Starting with 2017 acquisitions and through the June 2020 activity period only the forbearance indicator (""F"") will be reported, thereafter the as shown indicators will be reported

SF Loan Performance: Populated starting with the April 2020 activity period.","Such Borrower Assistance Plan indicator is as of the respective reporting period.

F = Forbearance Plan
R = Repayment Plan
T = Trial Period Plan
O = Other Workout Plan
N = No Workout Plan
7 = Not Applicable
9 = Not Available",√,√,√,ALPHA-NUMERIC,X(1)
103,High Loan to Value (HLTV) Refinance Option Indicator,"An indicator that denotes if an eligible original reference loan is refinanced under Fannie Mae’s HLTV refinance option, which results in such mortgage loan remaining in the Reference Pool, as further defined in each individual CRT document, if applicable.","CAS/CIRT/SF Loan Performance: The note date of the mortgage being refinanced must be on or after Oct 1, 2017. 

CAS/CIRT: Enhanced format starting with the July 2020 activity period",Y = Yes; N = No,√,√,√,ALPHA-NUMERIC,X(1)
104,Deal Name,The title of the series issuance.,,,√,√,NA,ALPHA-NUMERIC,X(200)
105,Repurchase Make Whole Proceeds Flag,Indicates if Fannie Mae received proceeds under the terms of its representation and warranty arrangements for the repurchase of the mortgage loan. ,,  Y = Yes; N = No ,√,√,√,ALPHA-NUMERIC,X(1)
106,Alternative Delinquency Resolution,"An indicator that denotes the loss mitigation solution designed to resolve delinquencies and help homeowners remain in their homes in accordance with the servicer’s contractual obligation, while allowing the loan to remain in the security.",Populated starting with the July 2020 activity period.,"Alternative Delinquency Resolution as of the respective reporting period

P = payment deferral option
C = payment deferral option specific to COVID-19
D = payment deferral option specific to certain natural disaster related events
7 = Not Applicable
9 = Not Available",√,√,√,ALPHA-NUMERIC,X(1)
107,Alternative Delinquency  Resolution Count,The total number of Alternative Delinquency Resolutions as reported by the servicer for a specific loan.,Populated starting with the July 2020 activity period.,,√,√,√,NUMERIC,9(3)
108,Total Deferral Amount ,The total non-interest-bearing deferral amount related to one or more Alternative Delinquency Resolutions.,Populated starting with the July 2020 activity period.,"Any non-interest bearing UPB created as part of a Loan Modification will be reflected in the ""Modification-Related Non-Interest Bearing UPB"" field.

Any non-interest bearing UPB created as part of a Payment Deferral will be reflected in the ""Total Deferral Amount"" field.",√,√,√,NUMERIC,9(10).99
109,Payment Deferral Modification Event Indicator,An indicator that denotes if a payment deferral is contributing to a modification event,Populated starting with the October 2023 activity period.,"Y= Yes; N= No; 7 = Not Applicable 

CAS/CIRT: All loans in deals where Payment Deferrals are not treated as a modification event will report 7 (Not Applicable)

SF Loan Performance: All loans will report 7 (Not Applicable)",√,√,√,ALPHA-NUMERIC,X(1)
110,Interest Bearing UPB,The current actual outstanding UPB of the mortgage loan less any non-interest bearing UPB resulting from an eligible modification event.,Populated starting with the October 2023 activity period.,"The Interest Bearing UPB is provided to assist in the calculation of Current Period Modification Loss Amount and Delinquent Accrued Interest.

For CRT Deals where Payment Deferrals are treated as a modification event, the Interest Bearing UPB will be equal to the Current Actual UPB - Modification Related Non-Interest Bearing UPB* - Total Deferral Amount.

For CRT Deals where Payment Deferrals are not treated as a modification event, the Interest Bearing UPB will be equal to the Current Actual UPB* - Modification Related Non-Interest Bearing UPB.

For CIRT deals that do not contain a modification event provision, the Interest Bearing UPB will be equal to the Current Actual UPB*.

For CAS deals that do not contain a modification event provision, the Interest Bearing UPB will be null.

Due to borrower privacy considerations, this value will be masked for the first six months of the life of the loan.

*If the Current Actual UPB has been reduced to zero due to a loss, the UPB at the Time of Removal is used. ",√,√,NA,NUMERIC,9(10).99
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
